ticker,date,close,breakout_similarity,drop_risk_score,combined_breakout_score,reasons,drop_risk_reasons,vol_ratio_20,dist_to_20d_high_pct,close_pos_day,rsi14,adx14,cmf20,range_10d_pct,macd_hist,ret_1d_pct,status_note
KOTA,2026-07-28,128.0,64,94,73,"vol_ratio_20 2.20 >= 0.7094; dist_to_20d_high_pct 3.12 <= 14.4666; close_pos_day 0.82 >= 0.25; cmf20 0.27 >= -0.1128; adx14 25.87 >= 21.8848; range_10d_pct 32.03 in [11.8329, 33.5067]; macd_hist 4.23 >= 1.6646",macd_hist >= 3.3342; adx14 <= 28.5159; value_traded >= 4949096700.0; dist_to_20d_high_pct <= 13.6802,2.2,3.12,0.82,68.32,25.87,0.266,32.03,4.2302,4.92,SETUP_CANDIDATE
PBID,2026-07-28,530.0,65,86,71,"vol_ratio_20 13.48 >= 0.7094; dist_to_20d_high_pct 7.55 <= 14.4666; close_pos_day 0.38 >= 0.25; cmf20 0.08 >= -0.1128; adx14 30.94 >= 21.8848; range_10d_pct 17.36 in [11.8329, 33.5067]; macd_hist 4.72 >= 1.6646",macd_hist >= 3.3342; value_traded >= 4949096700.0; dist_to_20d_high_pct <= 13.6802; vol_ratio_20 >= 0.8011,13.48,7.55,0.38,84.16,30.94,0.078,17.36,4.7186,2.91,SETUP_CANDIDATE
ADES,2026-07-28,38425.0,67,78,70,"vol_ratio_20 1.58 >= 0.7094; dist_to_20d_high_pct 4.10 <= 14.4666; close_pos_day 0.54 >= 0.25; cmf20 0.32 >= -0.1128; adx14 51.89 >= 21.8848; range_10d_pct 18.22 in [11.8329, 33.5067]; macd_hist 32.29 >= 1.6646",macd_hist >= 3.3342; dist_to_20d_high_pct <= 13.6802; vol_ratio_20 >= 0.8011; cmf20 >= -0.1108,1.58,4.1,0.54,75.3,51.89,0.316,18.22,32.2887,-1.09,SETUP_CANDIDATE
ELSA,2026-07-28,685.0,62,85,69,vol_ratio_20 1.32 >= 0.7094; dist_to_20d_high_pct 2.92 <= 14.4666; close_pos_day 0.86 >= 0.25; cmf20 0.24 >= -0.1128; adx14 37.42 >= 21.8848; macd_hist 4.18 >= 1.6646; price_vs_sma20_pct 8.56 >= 1.6474,macd_hist >= 3.3342; value_traded >= 4949096700.0; dist_to_20d_high_pct <= 13.6802; vol_ratio_20 >= 0.8011,1.32,2.92,0.86,63.13,37.42,0.244,10.22,4.1843,4.58,SETUP_CANDIDATE
PSKT,2026-07-28,218.0,61,83,68,"vol_ratio_20 1.67 >= 0.7094; dist_to_20d_high_pct 5.50 <= 14.4666; close_pos_day 0.50 >= 0.25; cmf20 -0.02 >= -0.1128; adx14 25.95 >= 21.8848; range_10d_pct 17.43 in [11.8329, 33.5067]; macd_hist 3.10 >= 1.6646",adx14 <= 28.5159; dist_to_20d_high_pct <= 13.6802; vol_ratio_20 >= 0.8011; cmf20 >= -0.1108,1.67,5.5,0.5,62.74,25.95,-0.024,17.43,3.1002,2.83,SETUP_CANDIDATE
AUTO,2026-07-28,2700.0,60,80,66,vol_ratio_20 2.10 >= 0.7094; dist_to_20d_high_pct 0.74 <= 14.4666; close_pos_day 0.75 >= 0.25; cmf20 0.18 >= -0.1128; adx14 35.96 >= 21.8848; macd_hist 13.76 >= 1.6646; price_vs_sma20_pct 6.76 >= 1.6474,macd_hist >= 3.3342; value_traded >= 4949096700.0; dist_to_20d_high_pct <= 13.6802; vol_ratio_20 >= 0.8011,2.1,0.74,0.75,68.1,35.96,0.181,8.52,13.7635,3.05,SETUP_CANDIDATE
ISAT,2026-07-28,1950.0,55,93,66,vol_ratio_20 1.18 >= 0.7094; dist_to_20d_high_pct 5.13 <= 14.4666; close_pos_day 0.50 >= 0.25; cmf20 0.05 >= -0.1128; adx14 22.92 >= 21.8848; macd_hist 11.79 >= 1.6646; price_vs_sma20_pct 3.07 >= 1.6474,macd_hist >= 3.3342; adx14 <= 28.5159; value_traded >= 4949096700.0; dist_to_20d_high_pct <= 13.6802,1.18,5.13,0.5,56.46,22.92,0.047,6.67,11.7875,1.83,SETUP_CANDIDATE
GJTL,2026-07-28,1200.0,54,93,66,vol_ratio_20 2.83 >= 0.7094; dist_to_20d_high_pct 2.50 <= 14.4666; cmf20 0.09 >= -0.1128; macd_hist 7.17 >= 1.6646; price_vs_sma20_pct 6.10 >= 1.6474; obv_slope_5_pct 60.90 >= 1.0723; value_traded 16552920000.00 >= 3551756675.0,macd_hist >= 3.3342; adx14 <= 28.5159; value_traded >= 4949096700.0; dist_to_20d_high_pct <= 13.6802,2.83,2.5,0.25,65.18,17.92,0.093,10.0,7.1651,-0.41,SETUP_CANDIDATE
AKRA,2026-07-28,1445.0,51,100,66,"vol_ratio_20 0.98 >= 0.7094; dist_to_20d_high_pct 5.19 <= 14.4666; close_pos_day 0.75 >= 0.25; cmf20 0.17 >= -0.1128; adx14 28.10 >= 21.8848; range_10d_pct 15.92 in [11.8329, 33.5067]; macd_hist 11.86 >= 1.6646",macd_hist >= 3.3342; adx14 <= 28.5159; value_traded >= 4949096700.0; dist_to_20d_high_pct <= 13.6802,0.98,5.19,0.75,62.8,28.1,0.166,15.92,11.8623,-0.69,SETUP_CANDIDATE
ERAA,2026-07-28,386.0,54,85,63,"vol_ratio_20 1.01 >= 0.7094; dist_to_20d_high_pct 10.36 <= 14.4666; cmf20 -0.04 >= -0.1128; adx14 35.61 >= 21.8848; range_10d_pct 18.65 in [11.8329, 33.5067]; macd_hist 4.15 >= 1.6646; price_vs_sma20_pct 6.73 >= 1.6474",macd_hist >= 3.3342; value_traded >= 4949096700.0; dist_to_20d_high_pct <= 13.6802; vol_ratio_20 >= 0.8011,1.01,10.36,0.2,62.83,35.61,-0.043,18.65,4.1459,-2.03,SETUP_CANDIDATE
ICBP,2026-07-28,6950.0,54,85,63,vol_ratio_20 1.08 >= 0.7094; dist_to_20d_high_pct 2.52 <= 14.4666; close_pos_day 0.40 >= 0.25; cmf20 0.25 >= -0.1128; adx14 38.69 >= 21.8848; macd_hist 18.36 >= 1.6646; price_vs_sma20_pct 2.62 >= 1.6474,macd_hist >= 3.3342; value_traded >= 4949096700.0; dist_to_20d_high_pct <= 13.6802; vol_ratio_20 >= 0.8011,1.08,2.52,0.4,60.9,38.69,0.252,7.55,18.3635,0.0,SETUP_CANDIDATE
INDF,2026-07-28,6850.0,52,85,62,vol_ratio_20 1.03 >= 0.7094; dist_to_20d_high_pct 2.19 <= 14.4666; close_pos_day 0.40 >= 0.25; cmf20 -0.01 >= -0.1128; adx14 36.93 >= 21.8848; macd_hist 5.71 >= 1.6646; price_vs_sma20_pct 1.87 >= 1.6474,macd_hist >= 3.3342; value_traded >= 4949096700.0; dist_to_20d_high_pct <= 13.6802; vol_ratio_20 >= 0.8011,1.03,2.19,0.4,60.91,36.93,-0.01,4.74,5.7121,-0.36,SETUP_CANDIDATE
BULL,2026-07-28,410.0,51,85,61,"vol_ratio_20 1.04 >= 0.7094; dist_to_20d_high_pct 7.32 <= 14.4666; cmf20 0.08 >= -0.1128; adx14 29.83 >= 21.8848; range_10d_pct 20.98 in [11.8329, 33.5067]; macd_hist 9.57 >= 1.6646; price_vs_sma20_pct 14.27 >= 1.6474",macd_hist >= 3.3342; value_traded >= 4949096700.0; dist_to_20d_high_pct <= 13.6802; vol_ratio_20 >= 0.8011,1.04,7.32,0.0,59.35,29.83,0.076,20.98,9.5706,-1.44,SETUP_CANDIDATE
WOOD,2026-07-28,232.0,53,77,60,"vol_ratio_20 1.50 >= 0.7094; dist_to_20d_high_pct 12.07 <= 14.4666; cmf20 0.02 >= -0.1128; adx14 33.64 >= 21.8848; range_10d_pct 32.33 in [11.8329, 33.5067]; macd_hist 6.10 >= 1.6646; price_vs_sma20_pct 12.35 >= 1.6474",macd_hist >= 3.3342; dist_to_20d_high_pct <= 13.6802; vol_ratio_20 >= 0.8011; cmf20 >= -0.1108,1.5,12.07,0.0,56.39,33.64,0.016,32.33,6.0981,-6.45,SETUP_CANDIDATE
ITMG,2026-07-28,24225.0,50,79,59,vol_ratio_20 0.91 >= 0.7094; dist_to_20d_high_pct 2.27 <= 14.4666; cmf20 0.03 >= -0.1128; adx14 35.70 >= 21.8848; macd_hist 78.11 >= 1.6646; price_vs_sma20_pct 2.70 >= 1.6474; obv_slope_5_pct 8.39 >= 1.0723,macd_hist >= 3.3342; value_traded >= 4949096700.0; dist_to_20d_high_pct <= 13.6802; vol_ratio_20 >= 0.8011,0.91,2.27,0.12,63.15,35.7,0.026,4.85,78.1125,-0.51,SETUP_CANDIDATE
TPIA,2026-07-28,2090.0,45,92,59,"dist_to_20d_high_pct 13.40 <= 14.4666; close_pos_day 0.40 >= 0.25; cmf20 0.03 >= -0.1128; adx14 25.08 >= 21.8848; range_10d_pct 22.97 in [11.8329, 33.5067]; macd_hist 57.02 >= 1.6646; price_vs_sma20_pct 6.96 >= 1.6474",macd_hist >= 3.3342; adx14 <= 28.5159; value_traded >= 4949096700.0; dist_to_20d_high_pct <= 13.6802,0.59,13.4,0.4,50.66,25.08,0.033,22.97,57.0226,0.0,SETUP_CANDIDATE
TRIN,2026-07-28,332.0,49,79,58,"vol_ratio_20 0.84 >= 0.7094; close_pos_day 0.42 >= 0.25; cmf20 -0.09 >= -0.1128; adx14 24.67 >= 21.8848; range_10d_pct 21.69 in [11.8329, 33.5067]; macd_hist 5.95 >= 1.6646; intraday_range_pct 7.23 >= 3.4525",macd_hist >= 3.3342; adx14 <= 28.5159; vol_ratio_20 >= 0.8011; cmf20 >= -0.1108,0.84,16.27,0.42,42.9,24.67,-0.09,21.69,5.9483,1.84,SETUP_CANDIDATE
GPRA,2026-07-28,102.0,47,83,58,vol_ratio_20 2.35 >= 0.7094; dist_to_20d_high_pct 7.84 <= 14.4666; close_pos_day 1.00 >= 0.25; cmf20 -0.02 >= -0.1128; adx14 29.98 >= 21.8848; intraday_range_pct 3.92 >= 3.4525; obv_slope_5_pct 91.97 >= 1.0723,value_traded >= 4949096700.0; dist_to_20d_high_pct <= 13.6802; vol_ratio_20 >= 0.8011; cmf20 >= -0.1108,2.35,7.84,1.0,50.94,29.98,-0.016,11.76,0.1536,4.08,SETUP_CANDIDATE
ISSP,2026-07-28,428.0,54,63,57,vol_ratio_20 2.68 >= 0.7094; dist_to_20d_high_pct 0.93 <= 14.4666; close_pos_day 0.80 >= 0.25; cmf20 0.04 >= -0.1128; adx14 32.38 >= 21.8848; macd_hist 2.43 >= 1.6646; price_vs_sma20_pct 7.92 >= 1.6474,dist_to_20d_high_pct <= 13.6802; vol_ratio_20 >= 0.8011; cmf20 >= -0.1108; close_pos_day >= 0.2258,2.68,0.93,0.8,70.51,32.38,0.042,9.35,2.4344,5.42,SETUP_CANDIDATE
GMFI,2026-07-28,55.0,52,69,57,vol_ratio_20 1.46 >= 0.7094; dist_to_20d_high_pct 1.82 <= 14.4666; close_pos_day 0.50 >= 0.25; cmf20 0.56 >= -0.1128; adx14 40.47 >= 21.8848; price_vs_sma20_pct 4.07 >= 1.6474; intraday_range_pct 3.64 >= 3.4525,dist_to_20d_high_pct <= 13.6802; vol_ratio_20 >= 0.8011; cmf20 >= -0.1108; close_pos_day >= 0.2258,1.46,1.82,0.5,59.69,40.47,0.561,9.09,0.3464,0.0,SETUP_CANDIDATE
